iter	RMSE
0	4869.059317
1	4807.935018
2	4749.311331
3	4707.83276
4	4661.388463
5	4615.61835
6	4567.230576
7	4514.307442
8	4472.462876
9	4422.520736
10	4373.148591
11	4324.504419
12	4276.534721
13	4241.685436
14	4193.566788
15	4158.301713
16	4128.519992
17	4088.794562
18	4045.361013
19	4008.129796
20	3958.243709
21	3934.11288
22	3893.368682
23	3856.847482
24	3817.226426
25	3775.001135
26	3743.152923
27	3699.289121
28	3675.835786
29	3642.992958
30	3612.874289
31	3565.803379
32	3527.163041
33	3489.476043
34	3458.075492
35	3423.027262
36	3390.955321
37	3367.543965
38	3336.874943
39	3311.957708
40	3285.500204
41	3261.794544
42	3238.142006
43	3210.399385
44	3178.636639
45	3149.037157
46	3116.69374
47	3096.381934
48	3070.006627
49	3051.442946
50	3030.159941
51	2999.157986
52	2976.316063
53	2956.89816
54	2926.205895
55	2900.31723
56	2875.186786
57	2854.161663
58	2829.672045
59	2807.816905
60	2787.359545
61	2772.012587
62	2747.72566
63	2719.356927
64	2696.527659
65	2675.885118
66	2655.997716
67	2632.317356
68	2613.633699
69	2594.054776
70	2578.896654
71	2564.990095
72	2541.959082
73	2525.109277
74	2507.54359
75	2490.925337
76	2468.273546
77	2453.11903
78	2443.953625
79	2425.71064
80	2400.539557
81	2382.654083
82	2364.301702
83	2354.993906
84	2345.502366
85	2329.156774
86	2307.357991
87	2289.337591
88	2276.032352
89	2260.861169
90	2248.614627
91	2236.926893
92	2221.273986
93	2208.467598
94	2194.033057
95	2172.544896
96	2152.296015
97	2135.546712
98	2119.256309
99	2105.418491
100	2094.499902
101	2080.667458
102	2062.929958
103	2048.449725
104	2031.133541
105	2019.276202
106	2000.109513
107	1987.155131
108	1976.389565
109	1959.841105
110	1947.123592
111	1935.841746
112	1923.412582
113	1907.574424
114	1894.348205
115	1883.123316
116	1872.143282
117	1855.675552
118	1847.750918
119	1836.931154
120	1830.632117
121	1813.303711
122	1802.768972
123	1794.194727
124	1785.853208
125	1778.095383
126	1761.483513
127	1753.829435
128	1738.57484
129	1728.648032
130	1718.45831
131	1711.549883
132	1699.533635
133	1690.008161
134	1675.3027
135	1661.414182
136	1648.153435
137	1636.946994
138	1629.446101
139	1615.91982
140	1604.137686
141	1594.024484
142	1580.057127
143	1571.787391
144	1560.589298
145	1551.097845
146	1539.8557
147	1524.819611
148	1517.690849
149	1505.398526
150	1496.924372
151	1490.429341
152	1477.919253
153	1471.156665
154	1464.22929
155	1456.628511
156	1449.284052
157	1442.689672
158	1438.248739
159	1428.340011
160	1419.747919
161	1413.225183
162	1395.8184
163	1389.48272
164	1383.270989
165	1375.167841
166	1366.55173
167	1359.231983
168	1354.191229
169	1347.130163
170	1334.899839
171	1324.85215
172	1315.157251
173	1307.890868
174	1299.123087
175	1293.069093
176	1284.283075
177	1278.47583
178	1270.496991
179	1258.482932
180	1251.634115
181	1241.752534
182	1234.056533
183	1228.589614
184	1221.857949
185	1214.037721
186	1207.305158
187	1200.309578
188	1195.658464
189	1189.571087
190	1182.977891
191	1176.156246
192	1171.23636
193	1166.596256
194	1162.789859
195	1158.358258
196	1153.94265
197	1144.647524
198	1138.486902
199	1131.296016
200	1122.037746
201	1116.26551
202	1107.756759
203	1103.698788
204	1097.463171
205	1090.162377
206	1086.071653
207	1074.95844
208	1067.530763
209	1058.934633
210	1055.076982
211	1047.890268
212	1039.283672
213	1033.145991
214	1027.361786
215	1023.813194
216	1018.797531
217	1011.299753
218	1005.044631
219	998.3128441
220	989.1504071
221	982.8305138
222	975.5160172
223	970.3046785
224	965.9637812
225	961.92327
226	955.5841534
227	950.1922439
228	943.5120703
229	938.8019879
230	932.2924546
231	926.532733
232	922.3734062
233	918.1150157
234	912.7535499
235	907.6925016
236	902.7387378
237	899.0136122
238	892.8714463
239	888.2605288
240	881.9671992
241	874.9056829
242	870.8904249
243	866.9745054
244	862.3375302
245	857.5872289
246	850.519704
247	845.4499851
248	842.5626266
249	836.5564556
250	833.5464153
251	829.2164683
252	824.2300761
253	820.5372097
254	817.4199484
255	812.0942039
256	806.8791254
257	801.6234383
258	794.7426963
259	791.0503097
260	786.3049996
261	781.7334321
262	778.8405946
263	773.9629737
264	771.1169108
265	767.2042038
266	763.2521115
267	759.0572453
268	755.5902065
269	750.8628052
270	747.9127881
271	744.4379616
272	740.7593951
273	736.8048481
274	731.7598343
275	728.9680312
276	726.5509015
277	721.6183162
278	719.1515753
279	714.9549021
280	711.7179231
281	707.3355807
282	704.7377697
283	702.0866489
284	698.2574134
285	693.5148012
286	688.8652575
287	686.3435152
288	682.4047453
289	679.9447634
290	677.4549939
291	673.0360318
292	670.4775535
293	668.3523751
294	665.6896171
295	662.9781867
296	658.7533244
297	655.683541
298	653.4929953
299	650.5985426
300	645.4673036
301	643.3406337
302	640.8912324
303	638.5203702
304	633.2514336
305	630.4871816
306	627.1910943
307	623.3554163
308	620.6768238
309	616.810545
310	613.5895548
311	611.3395452
312	609.0682986
313	607.0030115
314	603.385545
315	601.4730592
316	599.663783
317	597.9496258
318	594.2082135
319	591.8738147
320	587.490947
321	583.3825991
322	581.3164233
323	577.7067643
324	574.2323873
325	570.8084757
326	569.0803135
327	565.1862713
328	563.3835165
329	560.9284572
330	559.1753971
331	555.7992678
332	552.4170657
333	549.4338414
334	546.8211042
335	544.5294342
336	541.208243
337	538.0047001
338	534.8235298
339	531.7129139
340	530.0375959
341	527.8778186
342	526.0372114
343	523.1765978
344	520.2336156
345	515.9172609
346	512.1563074
347	510.7466153
348	507.8464506
349	505.8574741
350	503.0539109
351	499.4096816
352	496.7727878
353	495.1793623
354	493.4947663
355	490.0308225
356	486.6025275
357	484.4968724
358	483.2595693
359	481.152667
360	477.7902668
361	475.4091113
362	472.0272746
363	468.7357486
364	466.8873057
365	464.2084273
366	461.0261996
367	459.0926843
368	455.9997323
369	452.9260394
370	451.3510947
371	448.9881025
372	447.3844819
373	446.3011859
374	444.3844927
375	443.3595811
376	440.4820789
377	438.0173104
378	436.6116498
379	434.5133326
380	432.9824132
381	431.8557024
382	429.6627945
383	427.257449
384	425.547331
385	422.9708494
386	421.0806548
387	418.5102186
388	416.0241495
389	412.9858106
390	410.239916
391	408.9004323
392	406.3911074
393	405.038831
394	404.3217554
395	401.8881498
396	399.8841102
397	397.618317
398	395.376106
399	394.5606732
400	392.9655192
401	391.5301667
402	389.0246901
403	387.7494682
404	385.9193973
405	383.6242866
406	381.9360628
407	379.8316188
408	378.1621037
409	375.8109257
410	374.1738533
411	371.8064411
412	369.1109124
413	367.5304252
414	366.5378848
415	364.5492336
416	363.2530264
417	361.4600114
418	360.1955003
419	357.5888051
420	356.1143125
421	354.1330869
422	352.8490806
423	350.9969889
424	349.2240324
425	347.4296553
426	345.9929056
427	344.3664938
428	342.3206624
429	340.4729645
430	339.0803885
431	337.7252997
432	336.5643613
433	335.3353616
434	333.0843659
435	332.3158501
436	330.2926583
437	328.9167416
438	327.2190689
439	326.1139243
440	324.2106562
441	323.1511228
442	321.2952328
443	320.0741523
444	318.4898095
445	317.5928924
446	316.3520554
447	314.5514545
448	313.4841307
449	312.5955919
450	310.4693111
451	309.2902424
452	307.4664802
453	306.4753281
454	305.4915415
455	303.832224
456	302.1170315
457	301.2530617
458	298.8190026
459	298.2595033
460	297.2858652
461	296.4790134
462	295.8589758
463	294.6486954
464	293.8416346
465	293.1651777
466	291.9489566
467	290.8820172
468	289.5354128
469	289.1237951
470	288.7511513
471	288.386806
472	285.944523
473	284.2488142
474	282.9427286
475	281.3521974
476	280.7659776
477	279.3052128
478	278.7015787
479	277.9137646
480	276.9278088
481	274.7707402
482	273.952364
483	272.4591602
484	270.9477103
485	269.3292033
486	268.2101445
487	267.2222005
488	265.6466285
489	265.0605649
490	264.6837008
491	263.9309677
492	263.2800517
493	262.2434629
494	261.1776596
495	260.8472872
496	259.8353306
497	259.4200281
498	259.0227059
499	258.5728544
500	256.9584568
501	256.4435351
502	256.1302921
503	254.6729613
504	253.1741646
505	251.9085256
506	251.4531509
507	250.2857453
508	250.0300986
509	248.3436784
510	247.6528026
511	246.4429441
512	244.7105343
513	243.8319627
514	242.18094
515	241.5474928
516	240.1053817
517	239.8368843
518	239.5575048
519	238.1953188
520	236.8433103
521	236.4920094
522	235.0405152
523	234.2735095
524	233.0754155
525	231.6732186
526	230.3803216
527	229.8918158
528	229.4404325
529	228.2216975
530	226.6967758
531	225.5988109
532	224.42073
533	223.8116285
534	223.5410489
535	222.199762
536	221.7412546
537	220.4162736
538	218.8769406
539	218.5830853
540	218.3843502
541	217.8692914
542	217.633862
543	217.0514493
544	216.5643583
545	215.7129882
546	214.6252953
547	213.9673905
548	213.7264019
549	212.2757832
550	212.0418603
551	211.8388856
552	210.7161013
553	209.705038
554	209.2013364
555	208.4157911
556	207.9661459
557	206.6365529
558	205.5370845
559	204.7267553
560	203.2551144
561	203.0623981
562	201.8114183
563	201.0875489
564	200.6079464
565	199.5286756
566	198.0218871
567	197.312978
568	196.0163887
569	195.0155072
570	194.0663925
571	193.5884535
572	192.5723375
573	191.300768
574	189.9746787
575	188.9669562
576	187.8949691
577	186.5491579
578	186.3718776
579	185.274447
580	184.5566531
581	184.0072682
582	182.8883501
583	182.2916637
584	181.2557231
585	180.4905957
586	179.9577533
587	179.528312
588	179.0738437
589	178.2174288
590	177.3854038
591	176.4708678
592	175.4498327
593	175.2440243
594	174.4345807
595	173.7596404
596	173.2812208
597	172.3595399
598	171.9361946
599	171.140808
600	170.5181251
601	170.0212338
602	169.5116933
603	168.8624416
604	168.0483404
605	167.6329233
606	166.4811314
607	165.6110697
608	164.8979203
609	164.476571
610	164.0225078
611	163.862607
612	163.000204
613	162.6085233
614	162.2139094
615	161.9091983
616	161.0167694
617	160.3124485
618	159.4960196
619	159.0030683
620	158.027803
621	157.5419288
622	156.9112601
623	156.52847
624	156.055209
625	155.1285962
626	154.5119373
627	154.3537358
628	153.8045118
629	152.9641496
630	152.5670742
631	151.7004973
632	151.3506118
633	150.9388219
634	150.6397813
635	150.4816175
636	150.1016109
637	149.5989368
638	148.8996508
639	148.4706974
640	148.1537948
641	147.9243575
642	147.6058543
643	146.6679014
644	145.7551594
645	145.6173361
646	144.9679056
647	144.6378306
648	144.5101403
649	144.1868878
650	143.7551858
651	142.7345341
652	142.5958284
653	142.0944382
654	141.8203262
655	141.0383947
656	140.3770107
657	139.8580559
658	139.5412854
659	139.1498328
660	138.2540633
661	137.7251197
662	136.7531834
663	135.84204
664	135.5674387
665	134.6552605
666	134.2662387
667	133.579896
668	133.4699847
669	133.1021308
670	132.3712959
671	132.1112565
672	131.595866
673	130.8959451
674	130.4787829
675	130.0813547
676	129.1050536
677	128.7256538
678	127.9706492
679	127.3564361
680	126.6096683
681	126.3300586
682	125.8516831
683	125.5063354
684	125.3944616
685	124.4758329
686	124.1988034
687	124.078694
688	123.3656748
689	122.8361811
690	122.0545099
691	121.5940343
692	121.4974335
693	121.2726364
694	120.418826
695	120.2554312
696	119.7473998
697	119.3747251
698	118.9980119
699	118.6548649
700	118.3210097
701	117.7750181
702	117.086638
703	116.863786
704	116.3386428
705	116.0093388
706	115.2605443
707	115.0347205
708	114.3921851
709	113.9554928
710	113.2639166
711	112.7876671
712	112.2568124
713	111.6321934
714	110.9424859
715	110.5289255
716	110.4329875
717	109.8931865
718	109.6291713
719	109.1870951
720	108.746043
721	108.271941
722	107.8064697
723	107.2882233
724	107.1907637
725	106.4394858
726	105.9104049
727	105.3103362
728	104.7440349
729	104.655941
730	103.9965653
731	103.3350055
732	102.917719
733	102.416566
734	102.0071049
735	101.5242103
736	101.4397022
737	100.829267
738	100.1126158
739	99.61025737
740	99.2122562
741	98.71426359
742	98.35135758
743	97.8485808
744	97.67047854
745	97.29511841
746	96.92667166
747	96.37847612
748	96.109779
749	95.85029689
750	95.42684798
751	94.89128128
752	94.69454912
753	94.09319828
754	93.6997994
755	93.32288363
756	92.84999596
757	92.52536701
758	91.9323348
759	91.74928181
760	91.28713764
761	90.83095236
762	90.40101242
763	89.94917598
764	89.72740417
765	89.43471786
766	89.09417875
767	88.89321127
768	88.46401608
769	88.22715063
770	87.98716743
771	87.81120457
772	87.40850735
773	86.89679441
774	86.38481804
775	85.89887903
776	85.7042079
777	85.43197306
778	84.9328537
779	84.47773593
780	84.30721013
781	84.13883533
782	83.9360251
783	83.71659502
784	83.32217714
785	83.17850039
786	82.77007102
787	82.52944735
788	82.13694123
789	81.67289743
790	81.27235562
791	81.10963016
792	80.81928129
793	80.69923658
794	80.23648087
795	79.89256118
796	79.57965355
797	79.11035383
798	78.89032948
799	78.53715114
800	78.26640105
801	77.96021794
802	77.44966373
803	77.08398936
804	76.86589485
805	76.7892353
806	76.58213831
807	76.33308377
808	76.09237211
809	75.60697
810	75.18857039
811	74.87016892
