date,value
2010-01-01,3459
2010-02-01,8587
2010-03-01,16887
2010-04-01,20684
2010-05-01,15491
2010-06-01,2128
2010-07-01,847
2010-08-01,647
2010-09-01,518
2010-10-01,478
2010-11-01,545
2010-12-01,778
2011-01-01,1372
2011-02-01,1010
2011-03-01,1440
2011-04-01,1387
2011-05-01,1031
2011-06-01,312
2011-07-01,343
2011-08-01,254
2011-09-01,315
2011-10-01,477
2011-11-01,484
2011-12-01,576
2012-01-01,1274
2012-02-01,745
2012-03-01,605
2012-04-01,670
2012-05-01,351
2012-06-01,356
2012-07-01,335
2012-08-01,148
2012-09-01,310
2012-10-01,212
2012-11-01,242
2012-12-01,568
2013-01-01,2050
2013-02-01,12585
2013-03-01,63233
2013-04-01,43539
2013-05-01,10359
2013-06-01,2959
2013-07-01,394
2013-08-01,350
2013-09-01,563
2013-10-01,388
2013-11-01,468
2013-12-01,813
2014-01-01,1415
2014-02-01,1920
2014-03-01,2818
2014-04-01,2106
2014-05-01,1315
2014-06-01,993
2014-07-01,375
2014-08-01,376
2014-09-01,417
2014-10-01,476
2014-11-01,679
2014-12-01,350
2015-01-01,592
2015-02-01,801
2015-03-01,3920
2015-04-01,8918
2015-05-01,10646
2015-06-01,3014
2015-07-01,882
2015-08-01,614
2015-09-01,466
2015-10-01,433
2015-11-01,1256
2015-12-01,3029
2016-01-01,22677
2016-02-01,52456
2016-03-01,54111
2016-04-01,42332
2016-05-01,15246
2016-06-01,1738
2016-07-01,697
2016-08-01,424
2016-09-01,425
2016-10-01,807
2016-11-01,932
2016-12-01,1822
2017-01-01,2847
2017-02-01,1758
2017-03-01,1531
2017-04-01,1225
2017-05-01,664
2017-06-01,440
2017-07-01,298
2017-08-01,342
2017-09-01,571
2017-10-01,966
2017-11-01,746
2017-12-01,1109
2018-01-01,1267
2018-02-01,975
2018-03-01,866
2018-04-01,771
2018-05-01,411
2018-06-01,338
2018-07-01,355
2018-08-01,275
2018-09-01,484
2018-10-01,511
2018-11-01,616
2018-12-01,1085
2019-01-01,1624
2019-02-01,3761
2019-03-01,22227
2019-04-01,50747
2019-05-01,50832
2019-06-01,16275
2019-07-01,1621
2019-08-01,636
2019-09-01,653
2019-10-01,523
2019-11-01,557
2019-12-01,903
2020-01-01,1709
2020-02-01,2968
2020-03-01,5135
2020-04-01,2617
2020-05-01,2116
2020-06-01,1795
2020-07-01,1101
2020-08-01,815
2020-09-01,607
2020-10-01,571
2020-11-01,1106
2020-12-01,765
2021-01-01,1244
2021-02-01,1008
2021-03-01,1078
2021-04-01,747
2021-05-01,738
2021-06-01,405
2021-07-01,299
2021-08-01,414
2021-09-01,439
2021-10-01,453
2021-11-01,496
2021-12-01,347
2022-01-01,1187
2022-02-01,843
2022-03-01,1187
2022-04-01,1585
2022-05-01,1939
2022-06-01,949
2022-07-01,858
2022-08-01,474
2022-09-01,678
2022-10-01,1042
2022-11-01,964
2022-12-01,819
2023-01-01,3245
2023-02-01,5487
2023-03-01,12547
2023-04-01,20371
2023-05-01,10627
2023-06-01,3721
2023-07-01,1927
2023-08-01,1281
2023-09-01,1362
2023-10-01,1943
2023-11-01,1713
2023-12-01,5098
2024-01-01,40617
2024-02-01,103462
2024-03-01,122453
2024-04-01,43885
2024-05-01,14182
2024-06-01,4909
2024-07-01,1074
2024-08-01,984
2024-09-01,1519
2024-10-01,1426
2024-11-01,2473
2024-12-01,2499
