date,value
2010-01-01,1813
2010-02-01,3812
2010-03-01,4414
2010-04-01,4062
2010-05-01,3852
2010-06-01,816
2010-07-01,371
2010-08-01,288
2010-09-01,330
2010-10-01,304
2010-11-01,166
2010-12-01,258
2011-01-01,689
2011-02-01,798
2011-03-01,1144
2011-04-01,1125
2011-05-01,1026
2011-06-01,299
2011-07-01,329
2011-08-01,263
2011-09-01,326
2011-10-01,396
2011-11-01,278
2011-12-01,326
2012-01-01,501
2012-02-01,387
2012-03-01,468
2012-04-01,548
2012-05-01,398
2012-06-01,273
2012-07-01,273
2012-08-01,165
2012-09-01,240
2012-10-01,170
2012-11-01,181
2012-12-01,448
2013-01-01,972
2013-02-01,1772
2013-03-01,4914
2013-04-01,5720
2013-05-01,4898
2013-06-01,3563
2013-07-01,1544
2013-08-01,885
2013-09-01,727
2013-10-01,486
2013-11-01,487
2013-12-01,656
2014-01-01,1115
2014-02-01,2206
2014-03-01,2971
2014-04-01,3858
2014-05-01,4606
2014-06-01,2788
2014-07-01,1104
2014-08-01,368
2014-09-01,197
2014-10-01,173
2014-11-01,312
2014-12-01,183
2015-01-01,479
2015-02-01,933
2015-03-01,1747
2015-04-01,3129
2015-05-01,3306
2015-06-01,1263
2015-07-01,460
2015-08-01,356
2015-09-01,118
2015-10-01,152
2015-11-01,489
2015-12-01,742
2016-01-01,4072
2016-02-01,6168
2016-03-01,5445
2016-04-01,3539
2016-05-01,2218
2016-06-01,723
2016-07-01,463
2016-08-01,169
2016-09-01,152
2016-10-01,208
2016-11-01,201
2016-12-01,403
2017-01-01,536
2017-02-01,485
2017-03-01,919
2017-04-01,1176
2017-05-01,1186
2017-06-01,855
2017-07-01,269
2017-08-01,184
2017-09-01,216
2017-10-01,235
2017-11-01,196
2017-12-01,332
2018-01-01,305
2018-02-01,313
2018-03-01,452
2018-04-01,680
2018-05-01,377
2018-06-01,278
2018-07-01,207
2018-08-01,155
2018-09-01,237
2018-10-01,270
2018-11-01,318
2018-12-01,732
2019-01-01,1125
2019-02-01,2786
2019-03-01,7174
2019-04-01,8015
2019-05-01,12592
2019-06-01,9419
2019-07-01,1218
2019-08-01,628
2019-09-01,831
2019-10-01,783
2019-11-01,678
2019-12-01,998
2020-01-01,3065
2020-02-01,7404
2020-03-01,13878
2020-04-01,14498
2020-05-01,12378
2020-06-01,3986
2020-07-01,2125
2020-08-01,1595
2020-09-01,1327
2020-10-01,989
2020-11-01,1663
2020-12-01,1569
2021-01-01,2106
2021-02-01,2408
2021-03-01,2411
2021-04-01,3488
2021-05-01,4774
2021-06-01,2520
2021-07-01,1181
2021-08-01,978
2021-09-01,741
2021-10-01,706
2021-11-01,1161
2021-12-01,1897
2022-01-01,6041
2022-02-01,7641
2022-03-01,13693
2022-04-01,18176
2022-05-01,15727
2022-06-01,6163
2022-07-01,3171
2022-08-01,2379
2022-09-01,2638
2022-10-01,3062
2022-11-01,2911
2022-12-01,3744
2023-01-01,5478
2023-02-01,4938
2023-03-01,5663
2023-04-01,6983
2023-05-01,4417
2023-06-01,3165
2023-07-01,2934
2023-08-01,2086
2023-09-01,2295
2023-10-01,2355
2023-11-01,3868
2023-12-01,20715
2024-01-01,72410
2024-02-01,98704
2024-03-01,82032
2024-04-01,30462
2024-05-01,14210
2024-06-01,4584
2024-07-01,1353
2024-08-01,1368
2024-09-01,1506
2024-10-01,1598
2024-11-01,2674
2024-12-01,2416
