date,value
2010-01-01,388
2010-02-01,301
2010-03-01,337
2010-04-01,388
2010-05-01,514
2010-06-01,589
2010-07-01,796
2010-08-01,1027
2010-09-01,599
2010-10-01,532
2010-11-01,931
2010-12-01,1463
2011-01-01,2372
2011-02-01,3949
2011-03-01,8648
2011-04-01,11226
2011-05-01,7290
2011-06-01,2003
2011-07-01,1101
2011-08-01,549
2011-09-01,517
2011-10-01,572
2011-11-01,506
2011-12-01,558
2012-01-01,1001
2012-02-01,1327
2012-03-01,3431
2012-04-01,13142
2012-05-01,18986
2012-06-01,4193
2012-07-01,1377
2012-08-01,446
2012-09-01,336
2012-10-01,288
2012-11-01,197
2012-12-01,284
2013-01-01,480
2013-02-01,912
2013-03-01,2032
2013-04-01,2469
2013-05-01,2399
2013-06-01,3334
2013-07-01,2427
2013-08-01,1913
2013-09-01,1020
2013-10-01,429
2013-11-01,305
2013-12-01,334
2014-01-01,514
2014-02-01,568
2014-03-01,824
2014-04-01,888
2014-05-01,1863
2014-06-01,2193
2014-07-01,1379
2014-08-01,1056
2014-09-01,650
2014-10-01,538
2014-11-01,484
2014-12-01,293
2015-01-01,769
2015-02-01,1275
2015-03-01,3522
2015-04-01,7214
2015-05-01,17109
2015-06-01,6980
2015-07-01,3234
2015-08-01,1636
2015-09-01,561
2015-10-01,357
2015-11-01,450
2015-12-01,397
2016-01-01,1465
2016-02-01,1995
2016-03-01,2498
2016-04-01,6332
2016-05-01,13527
2016-06-01,6442
2016-07-01,5218
2016-08-01,2524
2016-09-01,1700
2016-10-01,1643
2016-11-01,1385
2016-12-01,1208
2017-01-01,3328
2017-02-01,5050
2017-03-01,8238
2017-04-01,14309
2017-05-01,3780
2017-06-01,1160
2017-07-01,865
2017-08-01,418
2017-09-01,1041
2017-10-01,690
2017-11-01,313
2017-12-01,374
2018-01-01,495
2018-02-01,585
2018-03-01,831
2018-04-01,1553
2018-05-01,498
2018-06-01,291
2018-07-01,365
2018-08-01,190
2018-09-01,175
2018-10-01,133
2018-11-01,148
2018-12-01,274
2019-01-01,452
2019-02-01,489
2019-03-01,1847
2019-04-01,1855
2019-05-01,1309
2019-06-01,1070
2019-07-01,845
2019-08-01,680
2019-09-01,716
2019-10-01,371
2019-11-01,366
2019-12-01,429
2020-01-01,973
2020-02-01,2378
2020-03-01,2635
2020-04-01,2140
2020-05-01,1836
2020-06-01,1820
2020-07-01,1519
2020-08-01,1265
2020-09-01,586
2020-10-01,402
2020-11-01,565
2020-12-01,327
2021-01-01,660
2021-02-01,865
2021-03-01,1016
2021-04-01,2274
2021-05-01,7066
2021-06-01,6990
2021-07-01,4859
2021-08-01,3382
2021-09-01,1496
2021-10-01,1255
2021-11-01,775
2021-12-01,756
2022-01-01,874
2022-02-01,1246
2022-03-01,2946
2022-04-01,6400
2022-05-01,11540
2022-06-01,7386
2022-07-01,4095
2022-08-01,2088
2022-09-01,1469
2022-10-01,1012
2022-11-01,803
2022-12-01,458
2023-01-01,1240
2023-02-01,1881
2023-03-01,2856
2023-04-01,2177
2023-05-01,1521
2023-06-01,1221
2023-07-01,1292
2023-08-01,788
2023-09-01,691
2023-10-01,686
2023-11-01,414
2023-12-01,374
2024-01-01,807
2024-02-01,1609
2024-03-01,3197
2024-04-01,2098
2024-05-01,1101
2024-06-01,962
2024-07-01,557
2024-08-01,513
2024-09-01,444
2024-10-01,317
2024-11-01,421
2024-12-01,274
