date,value
2010-01-01,92
2010-02-01,135
2010-03-01,193
2010-04-01,168
2010-05-01,234
2010-06-01,221
2010-07-01,284
2010-08-01,402
2010-09-01,306
2010-10-01,363
2010-11-01,937
2010-12-01,1291
2011-01-01,10017
2011-02-01,21605
2011-03-01,14229
2011-04-01,4177
2011-05-01,2129
2011-06-01,1005
2011-07-01,655
2011-08-01,440
2011-09-01,295
2011-10-01,307
2011-11-01,298
2011-12-01,507
2012-01-01,1142
2012-02-01,1151
2012-03-01,337
2012-04-01,307
2012-05-01,197
2012-06-01,282
2012-07-01,360
2012-08-01,230
2012-09-01,298
2012-10-01,200
2012-11-01,333
2012-12-01,903
2013-01-01,3094
2013-02-01,3225
2013-03-01,3732
2013-04-01,2128
2013-05-01,1234
2013-06-01,930
2013-07-01,500
2013-08-01,303
2013-09-01,356
2013-10-01,287
2013-11-01,234
2013-12-01,348
2014-01-01,365
2014-02-01,453
2014-03-01,957
2014-04-01,708
2014-05-01,459
2014-06-01,379
2014-07-01,192
2014-08-01,156
2014-09-01,148
2014-10-01,131
2014-11-01,227
2014-12-01,165
2015-01-01,231
2015-02-01,335
2015-03-01,517
2015-04-01,251
2015-05-01,377
2015-06-01,255
2015-07-01,263
2015-08-01,267
2015-09-01,290
2015-10-01,164
2015-11-01,192
2015-12-01,312
2016-01-01,1205
2016-02-01,1494
2016-03-01,1207
2016-04-01,1552
2016-05-01,1118
2016-06-01,620
2016-07-01,371
2016-08-01,211
2016-09-01,193
2016-10-01,218
2016-11-01,220
2016-12-01,250
2017-01-01,737
2017-02-01,594
2017-03-01,563
2017-04-01,604
2017-05-01,266
2017-06-01,202
2017-07-01,244
2017-08-01,258
2017-09-01,290
2017-10-01,210
2017-11-01,123
2017-12-01,163
2018-01-01,154
2018-02-01,170
2018-03-01,248
2018-04-01,351
2018-05-01,252
2018-06-01,250
2018-07-01,305
2018-08-01,212
2018-09-01,185
2018-10-01,131
2018-11-01,97
2018-12-01,153
2019-01-01,128
2019-02-01,212
2019-03-01,197
2019-04-01,242
2019-05-01,211
2019-06-01,322
2019-07-01,213
2019-08-01,153
2019-09-01,150
2019-10-01,124
2019-11-01,121
2019-12-01,112
2020-01-01,205
2020-02-01,289
2020-03-01,368
2020-04-01,114
2020-05-01,227
2020-06-01,218
2020-07-01,202
2020-08-01,169
2020-09-01,73
2020-10-01,69
2020-11-01,204
2020-12-01,185
2021-01-01,392
2021-02-01,674
2021-03-01,1007
2021-04-01,886
2021-05-01,838
2021-06-01,601
2021-07-01,488
2021-08-01,380
2021-09-01,182
2021-10-01,136
2021-11-01,96
2021-12-01,75
2022-01-01,232
2022-02-01,231
2022-03-01,295
2022-04-01,226
2022-05-01,317
2022-06-01,142
2022-07-01,136
2022-08-01,90
2022-09-01,103
2022-10-01,146
2022-11-01,110
2022-12-01,96
2023-01-01,166
2023-02-01,173
2023-03-01,305
2023-04-01,341
2023-05-01,288
2023-06-01,226
2023-07-01,386
2023-08-01,271
2023-09-01,263
2023-10-01,135
2023-11-01,114
2023-12-01,1974
2024-01-01,3786
2024-02-01,1870
2024-03-01,1376
2024-04-01,640
2024-05-01,343
2024-06-01,377
2024-07-01,250
2024-08-01,213
2024-09-01,197
2024-10-01,207
2024-11-01,199
2024-12-01,179
