date,value
2010-01-01,188
2010-02-01,297
2010-03-01,548
2010-04-01,1081
2010-05-01,3811
2010-06-01,4295
2010-07-01,4051
2010-08-01,2482
2010-09-01,762
2010-10-01,465
2010-11-01,306
2010-12-01,326
2011-01-01,308
2011-02-01,538
2011-03-01,922
2011-04-01,916
2011-05-01,1508
2011-06-01,1046
2011-07-01,1122
2011-08-01,858
2011-09-01,837
2011-10-01,1217
2011-11-01,1429
2011-12-01,1806
2012-01-01,3422
2012-02-01,3740
2012-03-01,4339
2012-04-01,3486
2012-05-01,1236
2012-06-01,855
2012-07-01,716
2012-08-01,375
2012-09-01,254
2012-10-01,176
2012-11-01,150
2012-12-01,182
2013-01-01,207
2013-02-01,312
2013-03-01,698
2013-04-01,962
2013-05-01,821
2013-06-01,562
2013-07-01,303
2013-08-01,275
2013-09-01,261
2013-10-01,240
2013-11-01,208
2013-12-01,206
2014-01-01,219
2014-02-01,239
2014-03-01,317
2014-04-01,307
2014-05-01,524
2014-06-01,539
2014-07-01,331
2014-08-01,290
2014-09-01,246
2014-10-01,269
2014-11-01,559
2014-12-01,624
2015-01-01,1909
2015-02-01,2671
2015-03-01,8504
2015-04-01,6009
2015-05-01,3454
2015-06-01,1852
2015-07-01,1579
2015-08-01,2407
2015-09-01,1575
2015-10-01,2422
2015-11-01,5563
2015-12-01,3416
2016-01-01,7561
2016-02-01,6961
2016-03-01,3134
2016-04-01,1931
2016-05-01,1520
2016-06-01,947
2016-07-01,631
2016-08-01,434
2016-09-01,341
2016-10-01,389
2016-11-01,268
2016-12-01,604
2017-01-01,343
2017-02-01,366
2017-03-01,458
2017-04-01,441
2017-05-01,344
2017-06-01,335
2017-07-01,297
2017-08-01,269
2017-09-01,271
2017-10-01,252
2017-11-01,152
2017-12-01,203
2018-01-01,158
2018-02-01,240
2018-03-01,311
2018-04-01,699
2018-05-01,515
2018-06-01,402
2018-07-01,476
2018-08-01,294
2018-09-01,325
2018-10-01,231
2018-11-01,244
2018-12-01,273
2019-01-01,175
2019-02-01,378
2019-03-01,675
2019-04-01,983
2019-05-01,1336
2019-06-01,1484
2019-07-01,1160
2019-08-01,1157
2019-09-01,1364
2019-10-01,800
2019-11-01,496
2019-12-01,297
2020-01-01,289
2020-02-01,294
2020-03-01,251
2020-04-01,104
2020-05-01,222
2020-06-01,601
2020-07-01,804
2020-08-01,696
2020-09-01,490
2020-10-01,344
2020-11-01,258
2020-12-01,141
2021-01-01,238
2021-02-01,244
2021-03-01,376
2021-04-01,985
2021-05-01,4061
2021-06-01,2800
2021-07-01,1868
2021-08-01,1415
2021-09-01,584
2021-10-01,428
2021-11-01,204
2021-12-01,90
2022-01-01,152
2022-02-01,137
2022-03-01,205
2022-04-01,317
2022-05-01,533
2022-06-01,493
2022-07-01,618
2022-08-01,476
2022-09-01,268
2022-10-01,283
2022-11-01,86
2022-12-01,67
2023-01-01,346
2023-02-01,335
2023-03-01,825
2023-04-01,641
2023-05-01,333
2023-06-01,251
2023-07-01,484
2023-08-01,423
2023-09-01,351
2023-10-01,394
2023-11-01,220
2023-12-01,230
2024-01-01,459
2024-02-01,2445
2024-03-01,3856
2024-04-01,2008
2024-05-01,1335
2024-06-01,1623
2024-07-01,806
2024-08-01,607
2024-09-01,592
2024-10-01,616
2024-11-01,636
2024-12-01,500
