date,value
2010-01-01,235
2010-02-01,291
2010-03-01,325
2010-04-01,373
2010-05-01,565
2010-06-01,315
2010-07-01,410
2010-08-01,455
2010-09-01,276
2010-10-01,256
2010-11-01,446
2010-12-01,770
2011-01-01,2711
2011-02-01,7576
2011-03-01,17044
2011-04-01,24609
2011-05-01,17439
2011-06-01,3549
2011-07-01,1346
2011-08-01,709
2011-09-01,769
2011-10-01,1384
2011-11-01,1996
2011-12-01,4069
2012-01-01,8658
2012-02-01,15352
2012-03-01,31978
2012-04-01,65260
2012-05-01,43012
2012-06-01,14279
2012-07-01,3980
2012-08-01,1681
2012-09-01,1235
2012-10-01,912
2012-11-01,958
2012-12-01,2122
2013-01-01,4273
2013-02-01,10159
2013-03-01,26830
2013-04-01,18770
2013-05-01,6026
2013-06-01,2064
2013-07-01,610
2013-08-01,587
2013-09-01,366
2013-10-01,275
2013-11-01,341
2013-12-01,506
2014-01-01,569
2014-02-01,431
2014-03-01,464
2014-04-01,317
2014-05-01,308
2014-06-01,271
2014-07-01,191
2014-08-01,310
2014-09-01,295
2014-10-01,237
2014-11-01,239
2014-12-01,109
2015-01-01,187
2015-02-01,286
2015-03-01,1312
2015-04-01,3766
2015-05-01,6704
2015-06-01,3156
2015-07-01,1356
2015-08-01,1278
2015-09-01,480
2015-10-01,467
2015-11-01,1056
2015-12-01,1389
2016-01-01,2445
2016-02-01,3474
2016-03-01,7794
2016-04-01,10397
2016-05-01,4590
2016-06-01,1318
2016-07-01,786
2016-08-01,296
2016-09-01,177
2016-10-01,227
2016-11-01,377
2016-12-01,616
2017-01-01,1147
2017-02-01,705
2017-03-01,551
2017-04-01,492
2017-05-01,230
2017-06-01,175
2017-07-01,173
2017-08-01,117
2017-09-01,159
2017-10-01,267
2017-11-01,225
2017-12-01,398
2018-01-01,435
2018-02-01,425
2018-03-01,813
2018-04-01,1396
2018-05-01,1067
2018-06-01,743
2018-07-01,734
2018-08-01,330
2018-09-01,268
2018-10-01,251
2018-11-01,311
2018-12-01,738
2019-01-01,751
2019-02-01,701
2019-03-01,3244
2019-04-01,5562
2019-05-01,6294
2019-06-01,3286
2019-07-01,860
2019-08-01,448
2019-09-01,385
2019-10-01,230
2019-11-01,245
2019-12-01,294
2020-01-01,371
2020-02-01,248
2020-03-01,230
2020-04-01,107
2020-05-01,81
2020-06-01,65
2020-07-01,68
2020-08-01,52
2020-09-01,47
2020-10-01,50
2020-11-01,84
2020-12-01,32
2021-01-01,73
2021-02-01,73
2021-03-01,147
2021-04-01,174
2021-05-01,208
2021-06-01,116
2021-07-01,67
2021-08-01,63
2021-09-01,41
2021-10-01,28
2021-11-01,72
2021-12-01,30
2022-01-01,107
2022-02-01,210
2022-03-01,572
2022-04-01,999
2022-05-01,2110
2022-06-01,806
2022-07-01,786
2022-08-01,409
2022-09-01,418
2022-10-01,655
2022-11-01,480
2022-12-01,501
2023-01-01,1389
2023-02-01,2274
2023-03-01,5032
2023-04-01,8196
2023-05-01,6345
2023-06-01,4818
2023-07-01,3412
2023-08-01,2034
2023-09-01,1961
2023-10-01,2247
2023-11-01,3158
2023-12-01,7277
2024-01-01,19683
2024-02-01,54496
2024-03-01,38264
2024-04-01,10048
2024-05-01,5536
2024-06-01,3521
2024-07-01,1646
2024-08-01,1155
2024-09-01,1400
2024-10-01,1214
2024-11-01,1286
2024-12-01,1184
