date,value
2010-01-01,356
2010-02-01,506
2010-03-01,636
2010-04-01,779
2010-05-01,2067
2010-06-01,1654
2010-07-01,1327
2010-08-01,757
2010-09-01,342
2010-10-01,324
2010-11-01,269
2010-12-01,210
2011-01-01,414
2011-02-01,388
2011-03-01,605
2011-04-01,993
2011-05-01,2043
2011-06-01,1299
2011-07-01,1153
2011-08-01,501
2011-09-01,229
2011-10-01,401
2011-11-01,448
2011-12-01,587
2012-01-01,1065
2012-02-01,1000
2012-03-01,1092
2012-04-01,1583
2012-05-01,1085
2012-06-01,831
2012-07-01,907
2012-08-01,451
2012-09-01,302
2012-10-01,174
2012-11-01,127
2012-12-01,205
2013-01-01,137
2013-02-01,217
2013-03-01,403
2013-04-01,273
2013-05-01,262
2013-06-01,335
2013-07-01,223
2013-08-01,190
2013-09-01,204
2013-10-01,148
2013-11-01,197
2013-12-01,236
2014-01-01,348
2014-02-01,537
2014-03-01,1140
2014-04-01,1529
2014-05-01,1204
2014-06-01,953
2014-07-01,586
2014-08-01,515
2014-09-01,306
2014-10-01,315
2014-11-01,356
2014-12-01,228
2015-01-01,233
2015-02-01,277
2015-03-01,756
2015-04-01,1079
2015-05-01,1256
2015-06-01,949
2015-07-01,1211
2015-08-01,1120
2015-09-01,773
2015-10-01,389
2015-11-01,380
2015-12-01,273
2016-01-01,419
2016-02-01,709
2016-03-01,511
2016-04-01,366
2016-05-01,421
2016-06-01,327
2016-07-01,325
2016-08-01,210
2016-09-01,227
2016-10-01,324
2016-11-01,245
2016-12-01,225
2017-01-01,312
2017-02-01,208
2017-03-01,214
2017-04-01,367
2017-05-01,281
2017-06-01,211
2017-07-01,360
2017-08-01,241
2017-09-01,174
2017-10-01,272
2017-11-01,156
2017-12-01,256
2018-01-01,220
2018-02-01,191
2018-03-01,224
2018-04-01,191
2018-05-01,153
2018-06-01,118
2018-07-01,178
2018-08-01,114
2018-09-01,136
2018-10-01,162
2018-11-01,125
2018-12-01,221
2019-01-01,209
2019-02-01,233
2019-03-01,410
2019-04-01,631
2019-05-01,1001
2019-06-01,1520
2019-07-01,1746
2019-08-01,1419
2019-09-01,1484
2019-10-01,995
2019-11-01,847
2019-12-01,781
2020-01-01,1250
2020-02-01,1815
2020-03-01,2097
2020-04-01,2341
2020-05-01,2148
2020-06-01,911
2020-07-01,375
2020-08-01,290
2020-09-01,186
2020-10-01,108
2020-11-01,131
2020-12-01,81
2021-01-01,109
2021-02-01,87
2021-03-01,64
2021-04-01,74
2021-05-01,108
2021-06-01,70
2021-07-01,52
2021-08-01,89
2021-09-01,87
2021-10-01,78
2021-11-01,74
2021-12-01,19
2022-01-01,56
2022-02-01,66
2022-03-01,106
2022-04-01,210
2022-05-01,363
2022-06-01,228
2022-07-01,460
2022-08-01,386
2022-09-01,269
2022-10-01,347
2022-11-01,205
2022-12-01,188
2023-01-01,777
2023-02-01,800
2023-03-01,942
2023-04-01,1934
2023-05-01,2531
2023-06-01,2870
2023-07-01,3293
2023-08-01,1368
2023-09-01,723
2023-10-01,757
2023-11-01,520
2023-12-01,360
2024-01-01,766
2024-02-01,3890
2024-03-01,4331
2024-04-01,2181
2024-05-01,1432
2024-06-01,1147
2024-07-01,725
2024-08-01,703
2024-09-01,721
2024-10-01,471
2024-11-01,358
2024-12-01,371
