date,value
2010-01-01,885
2010-02-01,2221
2010-03-01,4794
2010-04-01,5882
2010-05-01,3915
2010-06-01,891
2010-07-01,523
2010-08-01,378
2010-09-01,289
2010-10-01,305
2010-11-01,456
2010-12-01,652
2011-01-01,1618
2011-02-01,1586
2011-03-01,2523
2011-04-01,3959
2011-05-01,2564
2011-06-01,652
2011-07-01,705
2011-08-01,503
2011-09-01,416
2011-10-01,502
2011-11-01,488
2011-12-01,572
2012-01-01,1205
2012-02-01,972
2012-03-01,1102
2012-04-01,1588
2012-05-01,735
2012-06-01,537
2012-07-01,463
2012-08-01,269
2012-09-01,349
2012-10-01,255
2012-11-01,317
2012-12-01,554
2013-01-01,986
2013-02-01,1562
2013-03-01,4437
2013-04-01,5075
2013-05-01,1800
2013-06-01,983
2013-07-01,434
2013-08-01,280
2013-09-01,361
2013-10-01,303
2013-11-01,409
2013-12-01,582
2014-01-01,910
2014-02-01,2094
2014-03-01,11660
2014-04-01,27021
2014-05-01,13104
2014-06-01,3889
2014-07-01,1168
2014-08-01,994
2014-09-01,691
2014-10-01,632
2014-11-01,615
2014-12-01,387
2015-01-01,2269
2015-02-01,11540
2015-03-01,39216
2015-04-01,17446
2015-05-01,6951
2015-06-01,1229
2015-07-01,967
2015-08-01,681
2015-09-01,548
2015-10-01,752
2015-11-01,1773
2015-12-01,2175
2016-01-01,1097
2016-02-01,1223
2016-03-01,1385
2016-04-01,888
2016-05-01,634
2016-06-01,335
2016-07-01,853
2016-08-01,656
2016-09-01,724
2016-10-01,1189
2016-11-01,1334
2016-12-01,1620
2017-01-01,498
2017-02-01,264
2017-03-01,288
2017-04-01,1556
2017-05-01,845
2017-06-01,594
2017-07-01,582
2017-08-01,530
2017-09-01,749
2017-10-01,1192
2017-11-01,1070
2017-12-01,1435
2018-01-01,2342
2018-02-01,1764
2018-03-01,1167
2018-04-01,1166
2018-05-01,625
2018-06-01,478
2018-07-01,432
2018-08-01,296
2018-09-01,487
2018-10-01,417
2018-11-01,566
2018-12-01,1125
2019-01-01,1764
2019-02-01,2995
2019-03-01,8241
2019-04-01,13333
2019-05-01,13768
2019-06-01,6263
2019-07-01,1770
2019-08-01,1143
2019-09-01,1323
2019-10-01,1044
2019-11-01,969
2019-12-01,1390
2020-01-01,2385
2020-02-01,3149
2020-03-01,2933
2020-04-01,2029
2020-05-01,1571
2020-06-01,796
2020-07-01,547
2020-08-01,473
2020-09-01,481
2020-10-01,331
2020-11-01,592
2020-12-01,484
2021-01-01,1177
2021-02-01,1765
2021-03-01,3255
2021-04-01,6693
2021-05-01,5349
2021-06-01,1819
2021-07-01,972
2021-08-01,1005
2021-09-01,711
2021-10-01,756
2021-11-01,860
2021-12-01,853
2022-01-01,1560
2022-02-01,1478
2022-03-01,3568
2022-04-01,9307
2022-05-01,13710
2022-06-01,4328
2022-07-01,2846
2022-08-01,1243
2022-09-01,1206
2022-10-01,2169
2022-11-01,1275
2022-12-01,597
2023-01-01,4452
2023-02-01,5623
2023-03-01,9710
2023-04-01,13852
2023-05-01,9355
2023-06-01,4347
2023-07-01,3003
2023-08-01,2386
2023-09-01,2708
2023-10-01,3635
2023-11-01,3157
2023-12-01,6082
2024-01-01,29750
2024-02-01,124453
2024-03-01,331402
2024-04-01,320473
2024-05-01,265248
2024-06-01,109649
2024-07-01,24288
2024-08-01,13835
2024-09-01,15943
2024-10-01,9295
2024-11-01,8486
2024-12-01,8326
