data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,date
1262476800000,201001,339.0,339,339.0,339,0.0,13.444037,0,1,310620020100119589,2023-08-20,Belo Horizonte,0.0,0.0,2521564.0,19.4285714286,88.4285714286,1,,1,66.1235997143,47.2857142857,25.230602,29.7142857143,215.0,,,,,71049,2010-01-03
1263081600000,201002,490.0,490,490.0,490,0.0,19.432384,0,1,310620020100219589,2023-08-20,Belo Horizonte,0.0,0.0,2521564.0,21.0,87.4285714286,1,,1,63.838935,44.0,26.2324932857,30.8571428571,319.0,,,,,71049,2010-01-10
1263686400000,201003,587.0,587,587.0,587,0.0,23.279203,0,2,310620020100319589,2023-08-20,Belo Horizonte,0.0,0.0,2521564.0,19.8571428571,86.8571428571,1,,1,63.0000002857,44.0,25.6218485714,30.8571428571,416.0,,,,,71049,2010-01-17
1264291200000,201004,903.0,903,903.0,903,0.0,35.811108,0,2,310620020100419589,2023-08-20,Belo Horizonte,0.0,0.0,2521564.0,20.0,87.4285714286,1,,2,65.7584032857,48.0,25.0709035714,29.0,662.0,,,,,71049,2010-01-24
1264896000000,201005,1140.0,1140,1140.0,1140,0.0,45.210037,0,4,310620020100519589,2023-08-20,Belo Horizonte,0.0,0.0,2521564.0,20.4285714286,82.2857142857,1,,2,57.6239491429,40.7142857143,26.3497901429,30.1428571429,840.0,,,,,71049,2010-01-31
1265500800000,201006,1233.0,1233,1233.0,1233,1.0,48.898224,0,4,310620020100619589,2023-08-20,Belo Horizonte,0.0,1.4129261,2521564.0,20.0,84.5714285714,1,1.0,2,63.7435921429,43.0,24.9432071429,29.7142857143,992.0,,,,,71049,2010-02-07
1266105600000,201007,1659.0,1659,1659.0,1659,1.0,65.7925,0,4,310620020100719589,2023-08-20,Belo Horizonte,0.0,1.5148965,2521564.0,20.4285714286,85.2857142857,1,1.0,2,58.7623041429,40.2857142857,26.8711737143,31.2857142857,1320.0,,,,,71049,2010-02-14
1266710400000,201008,2697.0,2697,2697.0,2697,1.0,106.95743,0,4,310620020100819589,2023-08-20,Belo Horizonte,0.0,1.9740787,2521564.0,20.5714285714,88.4285714286,1,1.0,2,63.3392855714,45.7142857143,26.1260504286,30.5714285714,2204.0,,,,,71049,2010-02-21
1267315200000,201009,2998.0,2998,2998.0,2998,1.0,118.89446,0,4,310620020100919589,2023-08-20,Belo Horizonte,0.0,1.6290946,2521564.0,20.5714285714,94.8571428571,1,1.0,2,82.8840332857,68.7142857143,22.9519958571,25.8571428571,2515.0,,,,,71049,2010-02-28
1267920000000,201010,3373.0,3373,3373.0,3373,1.0,133.76619,0,4,310620020101019589,2023-08-20,Belo Horizonte,0.0,1.3730016,2521564.0,20.4285714286,91.4285714286,1,1.0,2,66.0672264286,46.7142857143,26.3613441429,30.5714285714,2668.0,,,,,71049,2010-03-07
1268524800000,201011,4333.0,4333,4333.0,4333,1.0,171.8378,0,4,310620020101119589,2023-08-20,Belo Horizonte,0.0,1.4472648,2521564.0,19.2857142857,92.2857142857,1,1.0,2,72.9764721429,54.0,24.0095237143,28.4285714286,3508.0,,,,,71049,2010-03-14
1269129600000,201012,4550.0,4550,4550.0,4550,1.0,180.44357,0,4,310620020101219589,2023-08-20,Belo Horizonte,0.0,1.293234,2521564.0,19.8571428571,90.0,1,1.0,2,69.8602935714,49.5714285714,24.5367645714,28.8571428571,3715.0,,,,,71049,2010-03-21
1269734400000,201013,4631.0,4631,4631.0,4631,1.0,183.65585,0,4,310620020101319589,2023-08-20,Belo Horizonte,0.0,1.1378869,2521564.0,20.2857142857,89.0,1,1.0,2,71.3440132857,54.8571428571,24.5026262857,28.4285714286,3854.0,,,,,71049,2010-03-28
1270339200000,201014,5737.0,5737,5737.0,5737,1.0,227.51753,0,4,310620020101419589,2023-08-20,Belo Horizonte,0.0,1.2778077,2521564.0,16.7142857143,91.4285714286,1,1.0,2,69.34874,49.5714285714,21.8093488571,26.0,4781.0,,,,,71049,2010-04-04
1270944000000,201015,4934.0,4934,4934.0,4934,0.79545003,195.67221,0,4,310620020101519589,2023-08-20,Belo Horizonte,0.0,1.0168284,2521564.0,16.1428571429,89.0,1,0.0,2,64.7563028571,45.7142857143,22.0714285714,26.2857142857,4238.0,,,,,71049,2010-04-11
1271548800000,201016,4548.0,4548,4548.0,4548,4.2e-09,180.36424,0,4,310620020101619589,2023-08-20,Belo Horizonte,0.0,0.8893146,2521564.0,18.8571428571,88.8571428571,1,0.0,2,63.6532217143,42.5714285714,24.4216155714,28.7142857143,3858.0,,,,,71049,2010-04-18
1272153600000,201017,5465.0,5465,5465.0,5465,0.99999213,216.73058,0,4,310620020101719589,2023-08-20,Belo Horizonte,0.0,1.0880184,2521564.0,19.0,89.0,1,1.0,2,65.8792018571,46.0,24.0136555714,28.2857142857,4622.0,,,,,71049,2010-04-25
1272758400000,201018,5334.0,5334,5334.0,5334,0.9999253,211.53539,0,4,310620020101819589,2023-08-20,Belo Horizonte,0.0,1.0776811,2521564.0,16.4285714286,87.4285714286,1,1.0,2,61.5162111429,40.2857142857,22.5032914286,27.2857142857,4457.0,,,,,71049,2010-05-02
1273363200000,201019,3884.0,3884,3884.0,3884,0.0,154.03139,0,4,310620020101919589,2023-08-20,Belo Horizonte,0.0,0.76554364,2521564.0,14.5714285714,86.5714285714,0,0.0,2,67.5109794286,49.1428571429,20.2607294286,25.2857142857,3190.0,,,,,71049,2010-05-09
1273968000000,201020,2845.0,2845,2845.0,2845,0.0,112.8268,0,4,310620020102019589,2023-08-20,Belo Horizonte,0.0,0.5912377,2521564.0,16.0,95.0,0,0.0,2,69.6649157143,46.2857142857,21.7536765714,26.2857142857,2201.0,,,,,71049,2010-05-16
1274572800000,201021,2120.0,2120,2120.0,2120,0.0,84.07481,0,4,310620020102119589,2023-08-20,Belo Horizonte,0.0,0.5355,2521564.0,16.8571428571,92.2857142857,1,0.0,2,71.0719528571,51.5714285714,21.4369747143,25.5714285714,1498.0,,,,,71049,2010-05-23
1275177600000,201022,1308.0,1308,1308.0,1308,0.0,51.872566,0,4,310620020102219589,2023-08-20,Belo Horizonte,0.0,0.44022214,2521564.0,14.5714285714,91.4285714286,0,0.0,2,73.7379151429,57.7142857143,18.7037514286,22.1428571429,780.0,,,,,71049,2010-05-30
1275782400000,201023,847.0,847,847.0,847,0.0,33.590263,0,4,310620020102319589,2023-08-20,Belo Horizonte,0.0,0.39756468,2521564.0,14.0,84.3333333333,0,0.0,1,64.546842,43.0,19.0620918333,23.5,435.0,,,,,71049,2010-06-06
1276387200000,201024,550.0,550,550.0,550,0.0,21.81186,0,1,310620020102419589,2023-08-20,Belo Horizonte,0.0,0.38168514,2521564.0,11.1428571429,88.7142857143,0,0.0,1,56.7968835714,34.2857142857,19.084944,24.4285714286,245.0,,,,,71049,2010-06-13
1276992000000,201025,426.0,426,426.0,426,0.0,16.894278,0,1,310620020102519589,2023-08-20,Belo Horizonte,0.0,0.45411757,2521564.0,14.1428571429,89.7142857143,0,0.0,1,61.3380944286,40.7142857143,20.637815,25.8571428571,171.0,,,,,71049,2010-06-20
1277596800000,201026,305.0,305,305.0,305,0.0,12.095668,0,1,310620020102619589,2023-08-20,Belo Horizonte,0.0,0.48853427,2521564.0,12.5714285714,86.2857142857,0,0.0,1,61.6769957143,39.2857142857,19.0656512857,24.0,117.0,,,,,71049,2010-06-27
1278201600000,201027,253.0,253,253.0,253,0.0,10.033456,0,1,310620020102719589,2023-08-20,Belo Horizonte,0.0,0.57199794,2521564.0,14.5714285714,85.4285714286,0,0.0,1,59.4375,38.2857142857,20.4863445714,25.1428571429,88.0,,,,,71049,2010-07-04
1278806400000,201028,244.0,244,244.0,244,0.0001050362,9.676534,0,1,310620020102819589,2023-08-20,Belo Horizonte,0.0,0.7332252,2521564.0,17.2857142857,85.8571428571,1,0.0,1,61.1890754286,39.4285714286,22.3337332857,27.0,75.0,,,,,71049,2010-07-11
1279411200000,201029,190.0,190,190.0,190,9.75946e-05,7.535006,0,1,310620020102919589,2023-08-20,Belo Horizonte,0.0,0.70478547,2521564.0,14.6666666667,87.0,0,0.0,1,63.565285,43.5,20.3172346667,24.6666666667,59.0,,,,,71049,2010-07-18
1280016000000,201030,160.0,160,160.0,160,0.0001403584,6.3452682,0,1,310620020103019589,2023-08-20,Belo Horizonte,0.0,0.6908356,2521564.0,15.3333333333,80.8333333333,0,0.0,1,57.7414626667,41.0,20.3752451667,24.5,45.0,,,,,71049,2010-07-25
1280620800000,201031,141.0,141,141.0,141,0.0012703162,5.591768,0,1,310620020103119589,2023-08-20,Belo Horizonte,0.0,0.7185182,2521564.0,14.1428571429,81.4285714286,0,0.0,1,50.1787117143,30.0,21.5459385714,26.7142857143,24.0,,,,,71049,2010-08-01
1281225600000,201032,115.0,115,115.0,115,0.0014821494,4.560662,0,1,310620020103219589,2023-08-20,Belo Horizonte,0.0,0.69922185,2521564.0,14.5714285714,81.5714285714,0,0.0,0,51.2001165714,31.7142857143,21.8909198571,27.1428571429,13.0,,,,,71049,2010-08-08
1281830400000,201033,108.0,108,108.0,108,0.020767385,4.2830563,0,1,310620020103319589,2023-08-20,Belo Horizonte,0.0,0.7714407,2521564.0,11.8571428571,78.2857142857,0,0.0,0,50.5368164286,31.5714285714,18.3127321429,23.1428571429,7.0,,,,,71049,2010-08-15
1282435200000,201034,149.0,149,149.0,149,0.93777084,5.909031,0,1,310620020103419589,2023-08-20,Belo Horizonte,0.0,1.2046502,2521564.0,14.8571428571,70.8571428571,0,0.0,1,40.1376048571,20.7142857143,22.8634452857,28.5714285714,14.0,,,,,71049,2010-08-22
1283040000000,201035,134.0,134,134.0,134,0.7630783,5.3141623,0,1,310620020103519589,2023-08-20,Belo Horizonte,0.0,1.0934452,2521564.0,15.7142857143,73.0,0,0.0,1,44.5252098571,26.4285714286,22.9569328571,27.8571428571,15.0,,,,,71049,2010-08-29
1283644800000,201036,128.0,128,128.0,128,0.40748322,5.076215,0,1,310620020103619589,2023-08-20,Belo Horizonte,0.0,0.9714212,2521564.0,15.8571428571,77.8571428571,0,0.0,1,49.8669818571,32.7142857143,22.4481442857,26.8571428571,11.0,,,,,71049,2010-09-05
