data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,date
1262476800000,201001,147.0,147,147.0,147,0.0,4.811549,0,1,530010820100119589,2023-08-20,Brasília,0.0,0.0,3055149.0,18.0,85.7142857143,0,,1,62.8662398571,33.0,23.3265381429,28.7142857143,107.0,,,,,20486,2010-01-03
1263081600000,201002,275.0,275,275.0,275,0.0,9.001198,0,1,530010820100219589,2023-08-20,Brasília,0.0,0.0,3055149.0,18.5714285714,86.7142857143,0,,1,67.6594921429,37.1428571429,22.9884078571,28.8571428571,219.0,,,,,20486,2010-01-10
1263686400000,201003,356.0,356,356.0,356,0.0,11.652459,0,1,530010820100319589,2023-08-20,Brasília,0.0,0.0,3055149.0,16.4285714286,88.0,0,,1,63.4099601429,28.1428571429,22.2047062857,28.5714285714,284.0,,,,,20486,2010-01-17
1264291200000,201004,461.0,461,461.0,461,0.0,15.08928,0,1,530010820100419589,2023-08-20,Brasília,0.0,0.0,3055149.0,18.0,87.5714285714,0,,2,71.9402628571,42.1428571429,21.8200392857,27.0,372.0,,,,,20486,2010-01-24
1264896000000,201005,574.0,574,574.0,574,0.0,18.787954,0,4,530010820100519589,2023-08-20,Brasília,0.0,0.0,3055149.0,17.2857142857,85.0,0,,2,53.6702191429,27.0,24.1187072857,30.0,474.0,,,,,20486,2010-01-31
1265500800000,201006,625.0,625,625.0,625,0.9999998,20.457268,0,4,530010820100619589,2023-08-20,Brasília,0.0,1.3640673,3055149.0,17.4285714286,85.1428571429,0,1.0,2,66.5404995714,40.4285714286,22.0803745714,27.8571428571,536.0,,,,,20486,2010-02-07
1266105600000,201007,828.0,828,828.0,828,1.0,27.101788,0,4,530010820100719589,2023-08-20,Brasília,0.0,1.4867036,3055149.0,17.2857142857,85.1428571429,0,1.0,2,61.5027975714,28.8571428571,23.08262,29.5714285714,676.0,,,,,20486,2010-02-14
1266710400000,201008,1127.0,1127,1127.0,1127,1.0,36.888546,0,4,530010820100819589,2023-08-20,Brasília,0.0,1.6673218,3055149.0,19.4285714286,81.5714285714,0,1.0,2,62.2256064286,33.7142857143,24.0531508571,29.8571428571,905.0,,,,,20486,2010-02-21
1267315200000,201009,1232.0,1232,1232.0,1232,1.0,40.325367,0,4,530010820100919589,2023-08-20,Brasília,0.0,1.4428667,3055149.0,20.4285714286,83.0,0,1.0,2,69.4390785714,41.4285714286,23.313185,28.1428571429,1005.0,,,,,20486,2010-02-28
1267920000000,201010,1072.0,1072,1072.0,1072,0.74090177,35.088306,0,4,530010820101019589,2023-08-20,Brasília,0.0,1.0284982,3055149.0,18.8571428571,85.2857142857,0,0.0,2,63.9201171429,30.1428571429,23.9952514286,29.8571428571,787.0,,,,,20486,2010-03-07
