data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,date
1262476800000,201001,63.0,63,63,63,0.0,2.344961,0,1,230440020100119589,2023-08-20,Fortaleza,0.0,0.0,2686612.0,24.4285714286,90.5714285714,1,0,0,77.7894557143,60.7142857143,26.7809525714,29.4285714286,31.0,,,,,7865,2010-01-03
1263081600000,201002,71.0,71,71,71,0.0,2.6427336,0,1,230440020100219589,2023-08-20,Fortaleza,0.0,0.0,2686612.0,25.0,88.1428571429,1,0,0,75.68141,59.7142857143,27.3066177143,30.2857142857,37.0,,,,,7865,2010-01-10
1263686400000,201003,82.0,82,82,82,0.0,3.0521712,0,2,230440020100319589,2023-08-20,Fortaleza,0.0,0.0,2686612.0,24.7142857143,90.4285714286,1,0,0,75.2397957143,54.8571428571,27.5370371429,30.7142857143,41.0,,,,,7865,2010-01-17
1264291200000,201004,60.0,60,60,60,0.0,2.2332962,0,2,230440020100419589,2023-08-20,Fortaleza,0.0,0.0,2686612.0,24.5714285714,92.0,1,0,0,78.3479991429,60.7142857143,27.3881711429,30.7142857143,22.0,,,,,7865,2010-01-24
1264896000000,201005,112.0,112,112,112,0.0,4.1688194,0,2,230440020100519589,2023-08-20,Fortaleza,0.0,0.0,2686612.0,25.5714285714,89.0,1,0,0,74.5991678571,55.8571428571,28.1882842857,31.2857142857,35.0,,,,,7865,2010-01-31
1265500800000,201006,46.0,46,46,46,0.00213074,1.7121936,0,2,230440020100619589,2023-08-20,Fortaleza,0.0,0.59373987,2686612.0,25.0,92.0,1,0,0,78.3642871429,61.0,27.4993198571,30.7142857143,24.0,,,,,7865,2010-02-07
1266105600000,201007,82.0,82,82,82,0.5779279,3.0521712,0,2,230440020100719589,2023-08-20,Fortaleza,0.0,1.0313421,2686612.0,24.8571428571,90.5714285714,1,0,0,78.5045721429,62.0,27.5594648571,30.7142857143,45.0,,,,,7865,2010-02-14
1266710400000,201008,59.0,59,59,59,0.1254777,2.1960745,0,2,230440020100819589,2023-08-20,Fortaleza,0.0,0.8184033,2686612.0,25.7142857143,89.0,1,0,0,76.5816328571,57.0,28.2142858571,31.2857142857,33.0,,,,,7865,2010-02-21
1267315200000,201009,114.0,114,114,114,0.9993518,4.2432623,0,2,230440020100919589,2023-08-20,Fortaleza,0.0,1.6147505,2686612.0,25.8571428571,88.4285714286,1,0,0,74.8907785714,55.8571428571,28.3941797143,31.1428571429,56.0,,,,,7865,2010-02-28
1267920000000,201010,69.0,69,69,69,0.23615254,2.5682905,0,1,230440020101019589,2023-08-20,Fortaleza,0.0,0.88829,2686612.0,26.2857142857,84.0,0,0,0,72.0941057143,55.0,28.6485267143,31.4285714286,46.0,,,,,7865,2010-03-07
1268524800000,201011,73.0,73,73,73,0.16835895,2.717177,0,1,230440020101119589,2023-08-20,Fortaleza,0.0,0.85842746,2686612.0,25.7142857143,88.4285714286,1,0,0,76.436402,57.0,27.943123,30.7142857143,48.0,,,,,7865,2010-03-14
1269129600000,201012,88.0,88,88,88,0.7031277,3.2755008,0,1,230440020101219589,2023-08-20,Fortaleza,0.0,1.0853217,2686612.0,23.2857142857,98.4285714286,1,0,0,84.0948048571,61.7142857143,26.4773658571,30.0,62.0,,,,,7865,2010-03-21
1269734400000,201013,107.0,107,107,107,0.979148,3.9827113,0,2,230440020101319589,2023-08-20,Fortaleza,0.0,1.349022,2686612.0,24.5714285714,97.8571428571,1,0,0,83.82199,64.5714285714,27.4161825714,30.4285714286,58.0,,,,,7865,2010-03-28
1270339200000,201014,97.0,97,97,97,0.74310374,3.6104953,0,2,230440020101419589,2023-08-20,Fortaleza,0.0,1.1005543,2686612.0,25.2857142857,94.8571428571,1,0,0,80.5899828571,63.4285714286,27.851148,31.1428571429,67.0,,,,,7865,2010-04-04
1270944000000,201015,69.0,69,69,69,0.01915227,2.5682905,0,2,230440020101519589,2023-08-20,Fortaleza,0.0,0.72297287,2686612.0,24.0,97.4285714286,1,0,0,82.201265,57.8571428571,27.0928271429,30.5714285714,54.0,,,,,7865,2010-04-11
1271548800000,201016,91.0,91,91,91,0.4916618,3.3871658,0,2,230440020101619589,2023-08-20,Fortaleza,0.0,0.99691546,2686612.0,24.4285714286,98.2857142857,1,0,0,82.6127012857,62.8571428571,27.1846727143,30.8571428571,58.0,,,,,7865,2010-04-18
1272153600000,201017,131.0,131,131,131,0.99886197,4.87603,0,2,230440020101719589,2023-08-20,Fortaleza,0.0,1.518537,2686612.0,24.7142857143,93.4285714286,1,0,0,78.9452025714,58.1428571429,27.6732611429,30.8571428571,71.0,,,,,7865,2010-04-25
1272758400000,201018,70.0,70,70,70,0.028921818,2.6055121,0,2,230440020101819589,2023-08-20,Fortaleza,0.0,0.743096,2686612.0,24.5714285714,96.5714285714,1,0,0,82.9056394286,64.1428571429,26.9864625714,30.2857142857,40.0,,,,,7865,2010-05-02
1273363200000,201019,92.0,92,92,92,0.27296847,3.4243872,0,2,230440020101919589,2023-08-20,Fortaleza,0.0,0.91673994,2686612.0,24.5714285714,94.2857142857,1,0,0,80.3663307143,59.5714285714,27.3715108571,30.7142857143,41.0,,,,,7865,2010-05-09
1273968000000,201020,101.0,101,101,101,0.7281632,3.7593818,0,2,230440020102019589,2023-08-20,Fortaleza,0.0,1.0910587,2686612.0,24.7142857143,92.1428571429,1,0,0,75.9067657143,57.1428571429,27.5365005714,30.7142857143,54.0,,,,,7865,2010-05-16
1274572800000,201021,103.0,103,103,103,0.8035333,3.8338249,0,2,230440020102119589,2023-08-20,Fortaleza,0.0,1.1303,2686612.0,25.0,94.2857142857,1,0,0,80.2060721429,60.8571428571,27.5519065714,30.2857142857,63.0,,,,,7865,2010-05-23
1275177600000,201022,148.0,148,148,148,0.9989444,5.508797,0,2,230440020102219589,2023-08-20,Fortaleza,0.0,1.4823667,2686612.0,23.7142857143,96.5714285714,1,0,0,81.552035,62.7142857143,26.7562592857,29.8571428571,83.0,,,,,7865,2010-05-30
1275782400000,201023,139.0,139,139,139,0.94135433,5.1738024,0,2,230440020102319589,2023-08-20,Fortaleza,0.0,1.2177858,2686612.0,23.8571428571,91.7142857143,1,0,0,75.7492878571,53.7142857143,27.1001511429,30.7142857143,75.0,,,,,7865,2010-06-06
1276387200000,201024,151.0,151,151,151,0.87590235,5.620462,0,2,230440020102419589,2023-08-20,Fortaleza,0.0,1.1472125,2686612.0,24.0,91.8571428571,1,0,0,75.07842,51.4285714286,27.0496977143,30.8571428571,93.0,,,,,7865,2010-06-13
1276992000000,201025,142.0,142,142,142,0.5120989,5.285467,0,2,230440020102519589,2023-08-20,Fortaleza,0.0,1.0036042,2686612.0,23.7142857143,88.7142857143,1,0,0,72.7091842857,50.7142857143,26.9580062857,30.8571428571,90.0,,,,,7865,2010-06-20
1277596800000,201026,157.0,157,157,157,0.7522196,5.8437915,0,2,230440020102619589,2023-08-20,Fortaleza,0.0,1.0814799,2686612.0,23.7142857143,91.0,1,0,0,73.5517214286,48.4285714286,26.856966,30.4285714286,109.0,,,,,7865,2010-06-27
1278201600000,201027,181.0,181,181,181,0.96062577,6.7371097,0,2,230440020102719589,2023-08-20,Fortaleza,0.0,1.213757,2686612.0,23.4285714286,91.1428571429,1,1,1,73.0428928571,49.5714285714,26.5874907143,30.1428571429,146.0,,,,,7865,2010-07-04
1278806400000,201028,203.0,203,203,203,0.9871949,7.555985,0,3,230440020102819589,2023-08-20,Fortaleza,0.0,1.2644881,2686612.0,23.7142857143,93.5714285714,1,1,1,77.3002371429,54.2857142857,26.4010605714,29.8571428571,158.0,,,,,7865,2010-07-11
1279411200000,201029,230.0,230,230,230,0.9932473,8.560968,0,3,230440020102919589,2023-08-20,Fortaleza,0.0,1.2771343,2686612.0,23.4285714286,89.2857142857,1,1,1,71.1730928571,48.4285714286,26.5691611429,30.1428571429,166.0,,,,,7865,2010-07-18
1280016000000,201030,182.0,182,182,182,0.18633422,6.7743316,0,2,230440020103019589,2023-08-20,Fortaleza,0.0,0.91279346,2686612.0,23.0,87.2857142857,1,0,1,70.3555651429,48.5714285714,26.4413568571,30.1428571429,140.0,,,,,7865,2010-07-25
1280620800000,201031,207.0,207,207,207,0.50826687,7.704871,0,2,230440020103119589,2023-08-20,Fortaleza,0.0,1.0020381,2686612.0,23.1428571429,87.8571428571,1,0,1,69.7551028571,45.8571428571,26.3265305714,30.0,154.0,,,,,7865,2010-08-01
1281225600000,201032,232.0,232,232,232,0.92062306,8.635411,0,1,230440020103219589,2023-08-20,Fortaleza,0.0,1.1447849,2686612.0,22.7142857143,85.5714285714,0,0,1,66.493842,40.8571428571,26.3075301429,30.1428571429,178.0,,,,,7865,2010-08-08
1281830400000,201033,216.0,216,216,216,0.6556571,8.0398655,0,1,230440020103319589,2023-08-20,Fortaleza,0.0,1.039656,2686612.0,23.1428571429,85.4285714286,0,0,1,69.0069914286,43.4285714286,26.1995461429,30.0,158.0,,,,,7865,2010-08-15
1282435200000,201034,184.0,184,184,184,0.056048054,6.8487744,0,1,230440020103419589,2023-08-20,Fortaleza,0.0,0.8529746,2686612.0,23.2857142857,83.0,0,0,1,71.5224871429,51.0,26.3446711429,30.0,122.0,,,,,7865,2010-08-22
1283040000000,201035,188.0,188,188,188,0.14569154,6.997661,0,1,230440020103519589,2023-08-20,Fortaleza,0.0,0.899541,2686612.0,23.1428571429,82.4285714286,0,0,1,67.770409,45.7142857143,26.3316324286,29.7142857143,146.0,,,,,7865,2010-08-29
