data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,date
1262476800000,201001,19.0,19,19,19,0.0,0.8560178,0,1,130260320100119589,2023-08-20,Manaus,0.0,0.0,2219580.0,25.0,91.1428571429,0,0,0,79.5420362857,61.2857142857,27.4305575714,30.7142857143,12.0,,,,,4626,2010-01-03
1263081600000,201002,23.0,23,23,23,0.0,1.0362321,0,1,130260320100219589,2023-08-20,Manaus,0.0,0.0,2219580.0,24.8571428571,92.5714285714,1,0,0,81.4815405714,63.1428571429,27.0741452857,30.1428571429,12.0,,,,,4626,2010-01-10
1263686400000,201003,11.0,11,11,11,0.0,0.49558926,0,1,130260320100319589,2023-08-20,Manaus,0.0,0.0,2219580.0,24.1428571429,97.4285714286,1,0,0,86.7330737143,71.5714285714,26.4740322857,29.2857142857,6.0,,,,,4626,2010-01-17
1264291200000,201004,17.0,17,17,17,0.0,0.7659107,0,1,130260320100419589,2023-08-20,Manaus,0.0,0.0,2219580.0,24.7142857143,95.8571428571,0,0,0,82.9165355714,63.0,27.0984387143,30.7142857143,11.0,,,,,4626,2010-01-24
1264896000000,201005,22.0,22,22,22,0.0,0.9911785,0,1,130260320100519589,2023-08-20,Manaus,0.0,0.0,2219580.0,25.1428571429,94.2857142857,1,0,0,82.6884214286,66.7142857143,27.5928927143,30.4285714286,14.0,,,,,4626,2010-01-31
1265500800000,201006,17.0,17,17,17,0.4992454,0.7659107,0,1,130260320100619589,2023-08-20,Manaus,0.0,0.9993594,2219580.0,24.0,99.2857142857,0,0,0,89.9025314286,74.1428571429,26.0863827143,29.1428571429,14.0,,,,,4626,2010-02-07
1266105600000,201007,29.0,29,29,29,0.9219093,1.3065535,0,1,130260320100719589,2023-08-20,Manaus,0.0,1.505098,2219580.0,25.4285714286,97.4285714286,1,0,0,84.1551134286,63.7142857143,27.8183628571,31.4285714286,22.0,,,,,4626,2010-02-14
1266710400000,201008,38.0,38,38,38,0.9808405,1.7120357,0,1,130260320100819589,2023-08-20,Manaus,0.0,1.7160493,2219580.0,24.2857142857,98.2857142857,1,0,0,89.25376,69.8571428571,26.6888602857,30.5714285714,25.0,,,,,4626,2010-02-21
1267315200000,201009,51.0,51,51,51,0.9938353,2.297732,0,1,130260320100919589,2023-08-20,Manaus,0.0,1.764956,2219580.0,25.1428571429,97.4285714286,0,1,1,82.3202044286,63.0,28.2335662857,32.0,40.0,,,,,4626,2010-02-28
1267920000000,201010,55.0,55,55,55,0.9571092,2.4779463,0,1,130260320101019589,2023-08-20,Manaus,0.0,1.4284005,2219580.0,25.8571428571,96.5714285714,0,1,1,80.5051028571,57.4285714286,28.9725274286,33.4285714286,36.0,,,,,4626,2010-03-07
1268524800000,201011,59.0,59,59,59,0.86465,2.6581604,0,1,130260320101119589,2023-08-20,Manaus,0.0,1.237446,2219580.0,24.5714285714,95.8571428571,0,0,1,83.0254414286,61.2857142857,27.7088317143,32.0,42.0,,,,,4626,2010-03-14
1269129600000,201012,43.0,43,43,43,0.15100843,1.9373034,0,1,130260320101219589,2023-08-20,Manaus,0.0,0.810362,2219580.0,24.5714285714,95.8571428571,0,0,1,82.499838,61.5714285714,27.3593404286,30.8571428571,31.0,,,,,4626,2010-03-21
1269734400000,201013,36.0,36,36,36,0.041781608,1.6219285,0,1,130260320101319589,2023-08-20,Manaus,0.0,0.69071037,2219580.0,23.7142857143,99.1428571429,0,0,0,85.8672505714,68.5714285714,26.735411,30.2857142857,19.0,,,,,4626,2010-03-28
