data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,date
1262476800000,201001,32.0,32,32,32,0.0,1.9353344,0,1,261160620100119589,2023-08-20,Recife,0.0,0.0,1653461.0,25.0,90.5714285714,1,0,0,75.2072175714,57.8571428571,27.4038322857,29.5714285714,13.0,,,,,18612,2010-01-03
1263081600000,201002,28.0,28,28,28,0.0,1.6934177,0,1,261160620100219589,2023-08-20,Recife,0.0,0.0,1653461.0,25.2857142857,91.2857142857,1,0,0,77.2908657143,62.2857142857,27.3310352857,29.2857142857,12.0,,,,,18612,2010-01-10
1263686400000,201003,34.0,34,34,34,0.0,2.0562928,0,2,261160620100319589,2023-08-20,Recife,0.0,0.0,1653461.0,23.8571428571,92.2857142857,1,0,0,83.3968141429,69.7142857143,26.0818214286,28.7142857143,16.0,,,,,18612,2010-01-17
1264291200000,201004,32.0,32,32,32,0.0,1.9353344,0,2,261160620100419589,2023-08-20,Recife,0.0,0.0,1653461.0,24.8571428571,86.0,1,0,0,71.3696585714,56.2857142857,27.810827,30.0,11.0,,,,,18612,2010-01-24
1264896000000,201005,62.0,62,62,62,0.0,3.7497106,0,2,261160620100519589,2023-08-20,Recife,0.0,0.0,1653461.0,26.4285714286,80.2857142857,1,0,1,68.4030822857,55.1428571429,28.3500864286,30.4285714286,31.0,,,,,18612,2010-01-31
1265500800000,201006,37.0,37,37,37,0.38057128,2.2377305,0,2,261160620100619589,2023-08-20,Recife,0.0,0.93324584,1653461.0,25.7142857143,82.8571428571,1,0,0,68.4799254286,51.2857142857,28.1438847143,30.5714285714,16.0,,,,,18612,2010-02-07
1266105600000,201007,63.0,63,63,63,0.9400519,3.8101897,0,2,261160620100719589,2023-08-20,Recife,0.0,1.3462718,1653461.0,25.7142857143,83.7142857143,1,0,1,69.1478391429,49.2857142857,28.1504132857,30.4285714286,30.0,,,,,18612,2010-02-14
1266710400000,201008,84.0,84,84,84,0.99761295,5.0802526,0,2,261160620100819589,2023-08-20,Recife,0.0,1.6334584,1653461.0,27.1428571429,77.4285714286,1,1,1,68.03125,52.2857142857,28.8571428571,31.0,42.0,,,,,18612,2010-02-21
1267315200000,201009,113.0,113,113,113,0.9998987,6.83415,0,3,261160620100919589,2023-08-20,Recife,0.0,1.7654415,1653461.0,24.7142857143,86.5714285714,1,1,1,67.0413144286,46.4285714286,28.6463507143,31.7142857143,49.0,,,,,18612,2010-02-28
1267920000000,201010,124.0,124,124,124,0.9965926,7.499421,0,3,261160620101019589,2023-08-20,Recife,0.0,1.4576291,1653461.0,25.5714285714,80.7142857143,1,1,1,64.508417,43.7142857143,28.9003211429,31.2857142857,45.0,,,,,18612,2010-03-07
1268524800000,201011,136.0,136,136,136,0.9720536,8.225171,0,3,261160620101119589,2023-08-20,Recife,0.0,1.2790741,1653461.0,25.7142857143,85.4285714286,1,1,1,70.524128,55.0,28.2983122857,31.0,72.0,,,,,18612,2010-03-14
1269129600000,201012,134.0,134,134,134,0.77812225,8.104213,0,3,261160620101219589,2023-08-20,Recife,0.0,1.1004006,1653461.0,25.5714285714,84.5714285714,1,0,1,72.3403788571,58.0,27.8666485714,30.2857142857,76.0,,,,,18612,2010-03-21
1269734400000,201013,154.0,154,154,154,0.909133,9.313797,0,2,261160620101319589,2023-08-20,Recife,0.0,1.1712724,1653461.0,25.4285714286,88.2857142857,1,0,1,72.0377668571,56.4285714286,28.5312064286,31.0,86.0,,,,,18612,2010-03-28
1270339200000,201014,203.0,203,203,203,0.99953157,12.277278,0,2,261160620101419589,2023-08-20,Recife,0.0,1.4316245,1653461.0,25.2857142857,89.7142857143,1,1,1,74.68576,56.5714285714,28.080448,30.7142857143,118.0,,,,,18612,2010-04-04
1270944000000,201015,222.0,222,222,222,0.99874884,13.426383,0,3,261160620101519589,2023-08-20,Recife,0.0,1.36301,1653461.0,24.4285714286,93.2857142857,1,1,1,77.2408114286,62.0,27.4415305714,30.2857142857,135.0,,,,,18612,2010-04-11
1271548800000,201016,281.0,281,281,281,0.999962,16.994656,0,3,261160620101619589,2023-08-20,Recife,0.0,1.4410846,1653461.0,24.7142857143,86.5714285714,1,1,1,71.8053771429,55.0,27.810599,30.1428571429,158.0,,,,,18612,2010-04-18
1272153600000,201017,375.0,375,375,375,1.0,22.6797,0,3,261160620101719589,2023-08-20,Recife,0.0,1.5967469,1653461.0,24.8571428571,88.2857142857,1,1,2,73.455028,57.2857142857,27.6393662857,30.4285714286,233.0,,,,,18612,2010-04-25
1272758400000,201018,417.0,417,417,417,0.99999905,25.219828,0,3,261160620101819589,2023-08-20,Recife,0.0,1.4342991,1653461.0,24.8571428571,87.4285714286,1,1,2,73.2226714286,52.7142857143,27.5396851429,31.0,298.0,,,,,18612,2010-05-02
1273363200000,201019,621.0,621,621,621,1.0,37.557583,0,4,261160620101919589,2023-08-20,Recife,0.0,1.7016786,1653461.0,24.4285714286,90.2857142857,1,1,2,75.8742725714,58.8571428571,27.0430442857,30.0,457.0,,,,,18612,2010-05-09
1273968000000,201020,698.0,698,698,698,1.0,42.21448,0,4,261160620102019589,2023-08-20,Recife,0.0,1.513344,1653461.0,23.8571428571,87.7142857143,1,1,2,73.2886342857,57.0,26.9861158571,29.1428571429,532.0,,,,,18612,2010-05-16
1274572800000,201021,918.0,918,918,918,1.0,55.519905,0,4,261160620102119589,2023-08-20,Recife,0.0,1.5595636,1653461.0,24.0,87.8571428571,1,1,2,73.7966194286,58.1428571429,26.9211982857,29.1428571429,653.0,,,,,18612,2010-05-23
1275177600000,201022,1157.0,1157,1157,1157,1.0,69.974434,0,4,261160620102219589,2023-08-20,Recife,0.0,1.5687363,1653461.0,23.7142857143,90.4285714286,1,1,2,77.326318,57.1428571429,26.4037102857,29.7142857143,852.0,,,,,18612,2010-05-30
1275782400000,201023,1078.0,1078,1078,1078,0.999928,65.19658,0,4,261160620102319589,2023-08-20,Recife,0.0,1.1862918,1653461.0,23.7142857143,87.5714285714,1,1,2,73.7772671429,55.5714285714,26.4925455714,29.4285714286,816.0,,,,,18612,2010-06-06
1276387200000,201024,889.0,889,889,889,0.0005048641,53.76601,0,4,261160620102419589,2023-08-20,Recife,0.0,0.8605652,1653461.0,23.2857142857,92.5714285714,1,0,2,83.288442,64.8571428571,24.8399022857,27.4285714286,681.0,,,,,18612,2010-06-13
1276992000000,201025,1023.0,1023,1023,1023,0.4118038,61.870224,0,4,261160620102519589,2023-08-20,Recife,0.0,0.99021834,1653461.0,23.2857142857,89.2857142857,1,0,2,70.266638,50.1428571429,26.4558945714,29.1428571429,725.0,,,,,18612,2010-06-20
1277596800000,201026,1305.0,1305,1305,1305,1.0,78.925354,0,4,261160620102619589,2023-08-20,Recife,0.0,1.3048321,1653461.0,22.4285714286,86.8571428571,0,1,2,75.0611385714,58.4285714286,25.0907611429,28.0,918.0,,,,,18612,2010-06-27
1278201600000,201027,1118.0,1118,1118,1118,0.8813869,67.615746,0,4,261160620102719589,2023-08-20,Recife,0.0,1.051921,1653461.0,22.4285714286,89.2857142857,0,0,2,75.655792,56.2857142857,25.062816,28.4285714286,775.0,,,,,18612,2010-07-04
1278806400000,201028,1029.0,1029,1029,1029,0.0056351484,62.233097,0,4,261160620102819589,2023-08-20,Recife,0.0,0.896992,1653461.0,22.5714285714,91.7142857143,0,0,2,76.9639911429,59.8571428571,25.570034,28.4285714286,723.0,,,,,18612,2010-07-11
1279411200000,201029,1042.0,1042,1042,1042,0.034985784,63.01933,0,4,261160620102919589,2023-08-20,Recife,0.0,0.9251085,1653461.0,22.0,87.4285714286,0,0,2,72.1625828571,49.7142857143,24.970961,28.0,709.0,,,,,18612,2010-07-18
