data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,date
1262476800000,201001,60.0,60,60,60,0.0,2.0784993,0,1,292740820100119589,2023-08-20,Salvador,0.0,0.0,2886698.0,24.1428571429,96.7142857143,1,,1,82.9896285714,67.2857142857,27.4443221429,30.4285714286,49.0,,,,,9227,2010-01-03
1263081600000,201002,52.0,52,52,52,0.0,1.8013661,0,1,292740820100219589,2023-08-20,Salvador,0.0,0.0,2886698.0,24.4285714286,96.7142857143,1,,1,82.6385277143,65.4285714286,27.5036442857,30.5714285714,36.0,,,,,9227,2010-01-10
1263686400000,201003,57.0,57,57,57,0.0,1.9745744,0,2,292740820100319589,2023-08-20,Salvador,0.0,0.0,2886698.0,25.2857142857,93.7142857143,1,,1,80.6232414286,66.8571428571,27.6983225714,30.1428571429,41.0,,,,,9227,2010-01-17
1264291200000,201004,69.0,69,69,69,0.0,2.3902743,0,2,292740820100419589,2023-08-20,Salvador,0.0,0.0,2886698.0,25.4285714286,88.1428571429,1,,1,76.2218385714,61.8571428571,28.1480111429,30.8571428571,45.0,,,,,9227,2010-01-24
1264896000000,201005,118.0,118,118,118,0.0,4.0877156,0,2,292740820100519589,2023-08-20,Salvador,0.0,0.0,2886698.0,26.7142857143,86.1428571429,1,,1,74.6974371429,60.1428571429,28.6552418571,31.2857142857,87.0,,,,,9227,2010-01-31
1265500800000,201006,84.0,84,84,84,0.6965259,2.9098992,0,2,292740820100619589,2023-08-20,Salvador,0.0,1.0841427,2886698.0,25.7142857143,91.4285714286,1,0.0,1,76.4776914286,60.8571428571,28.252259,31.0,68.0,,,,,9227,2010-02-07
1266105600000,201007,111.0,111,111,111,0.8913815,3.845224,0,2,292740820100719589,2023-08-20,Salvador,0.0,1.1883646,2886698.0,26.1428571429,90.5714285714,1,0.0,1,76.6888528571,60.2857142857,28.7869317143,31.4285714286,84.0,,,,,9227,2010-02-14
1266710400000,201008,151.0,151,151,151,0.9992146,5.2308903,0,2,292740820100819589,2023-08-20,Salvador,0.0,1.49416,2886698.0,26.1428571429,89.2857142857,1,1.0,1,78.2142857143,63.4285714286,28.5803571429,31.0,115.0,,,,,9227,2010-02-21
1267315200000,201009,160.0,160,160,160,0.99569935,5.542665,0,3,292740820100919589,2023-08-20,Salvador,0.0,1.3737596,2886698.0,25.4285714286,96.0,1,1.0,1,82.1489828571,64.8571428571,28.5495342857,31.7142857143,126.0,,,,,9227,2010-02-28
1267920000000,201010,139.0,139,139,139,0.51471144,4.8151903,0,3,292740820101019589,2023-08-20,Salvador,0.0,1.0044324,2886698.0,25.0,100.0,1,0.0,1,85.0153428571,63.8571428571,28.1269011429,31.4285714286,103.0,,,,,9227,2010-03-07
1268524800000,201011,178.0,178,178,178,0.93934655,6.166215,0,2,292740820101119589,2023-08-20,Salvador,0.0,1.1867155,2886698.0,25.2857142857,93.5714285714,1,0.0,1,78.1520071429,60.5714285714,28.3862331429,31.5714285714,130.0,,,,,9227,2010-03-14
1269129600000,201012,159.0,159,159,159,0.6008913,5.5080233,0,2,292740820101219589,2023-08-20,Salvador,0.0,1.029262,2886698.0,24.4285714286,87.5714285714,1,0.0,1,73.8206577143,54.4285714286,27.6523888571,30.5714285714,118.0,,,,,9227,2010-03-21
1269734400000,201013,160.0,160,160,160,0.47593153,5.542665,0,2,292740820101319589,2023-08-20,Salvador,0.0,0.9932934,2886698.0,24.8571428571,91.4285714286,1,0.0,1,76.47238,61.4285714286,27.7926632857,30.2857142857,109.0,,,,,9227,2010-03-28
1270339200000,201014,167.0,167,167,167,0.59869266,5.7851567,0,2,292740820101419589,2023-08-20,Salvador,0.0,1.0278907,2886698.0,24.1428571429,93.4285714286,1,0.0,1,79.6457062857,62.7142857143,26.8181951429,29.4285714286,118.0,,,,,9227,2010-04-04
1270944000000,201015,166.0,166,166,166,0.5891609,5.750515,0,2,292740820101519589,2023-08-20,Salvador,0.0,1.0251737,2886698.0,24.1428571429,93.1428571429,1,0.0,1,80.1497615714,64.7142857143,26.4815602857,28.7142857143,119.0,,,,,9227,2010-04-11
1271548800000,201016,181.0,181,181,181,0.8104415,6.2701397,0,2,292740820101619589,2023-08-20,Salvador,0.0,1.099165,2886698.0,24.8571428571,89.0,1,0.0,1,74.0369211429,59.7142857143,27.4263674286,29.7142857143,136.0,,,,,9227,2010-04-18
1272153600000,201017,265.0,265,265,265,0.99999344,9.180038,0,2,292740820101719589,2023-08-20,Salvador,0.0,1.5220692,2886698.0,24.8571428571,87.0,1,1.0,2,69.802612,56.4285714286,27.8208908571,29.8571428571,203.0,,,,,9227,2010-04-25
1272758400000,201018,302.0,302,302,302,0.99999565,10.461781,0,4,292740820101819589,2023-08-20,Salvador,0.0,1.4909874,2886698.0,23.4285714286,89.4285714286,1,1.0,2,74.319882,57.4285714286,26.6711311429,29.1428571429,233.0,,,,,9227,2010-05-02
1273363200000,201019,353.0,353,353,353,0.99998313,12.228505,0,4,292740820101919589,2023-08-20,Salvador,0.0,1.4042785,2886698.0,24.0,91.8571428571,1,1.0,2,76.7685037143,60.8571428571,27.1766958571,30.0,278.0,,,,,9227,2010-05-09
1273968000000,201020,406.0,406,406,406,0.99995166,14.064512,0,4,292740820102019589,2023-08-20,Salvador,0.0,1.3422843,2886698.0,24.2857142857,86.0,1,1.0,2,71.2915522857,56.2857142857,26.8583278571,29.2857142857,328.0,,,,,9227,2010-05-16
1274572800000,201021,479.0,479,479,479,0.9999939,16.593353,0,4,292740820102119589,2023-08-20,Salvador,0.0,1.3564186,2886698.0,24.2857142857,87.1428571429,1,1.0,2,73.7633294286,61.0,26.9411987143,29.1428571429,382.0,,,,,9227,2010-05-23
