data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year,date
1262476800000,201001,123.0,123,123.0,123,0.0,0.9979528,0,1,355030820100119589,2023-08-20,São Paulo,0.0,0.0,12325232.0,21.4285714286,93.1428571429,1,,1,80.2118562857,50.4285714286,23.8458908571,29.4285714286,49.0,,,,,21191,2010-01-03
1263081600000,201002,144.0,144,144.0,144,0.0,1.168335,0,1,355030820100219589,2023-08-20,São Paulo,0.0,0.0,12325232.0,20.8571428571,89.2857142857,1,,1,70.6344657143,45.2857142857,24.2182758571,28.5714285714,46.0,,,,,21191,2010-01-10
1263686400000,201003,168.0,168,168.0,168,0.0,1.3630575,0,2,355030820100319589,2023-08-20,São Paulo,0.0,0.0,12325232.0,20.0,95.0,1,,1,78.0720905714,51.0,23.3344637143,28.0,43.0,,,,,21191,2010-01-17
1264291200000,201004,203.0,203,203.0,203,0.0,1.6470279,0,2,355030820100419589,2023-08-20,São Paulo,0.0,0.0,12325232.0,19.8571428571,94.8571428571,1,,1,83.9819844286,62.7142857143,21.9966517143,26.4285714286,75.0,,,,,21191,2010-01-24
1264896000000,201005,247.0,247,247.0,247,0.0,2.004019,0,2,355030820100519589,2023-08-20,São Paulo,0.0,0.0,12325232.0,20.7142857143,90.0,1,,1,68.6348201429,31.0,25.1299805714,32.4285714286,103.0,,,,,21191,2010-01-31
1265500800000,201006,267.0,267,267.0,267,0.9981519,2.166288,0,2,355030820100619589,2023-08-20,São Paulo,0.0,1.3079354,12325232.0,21.7142857143,85.7142857143,1,1.0,1,67.5237938571,36.8571428571,25.2701055714,30.5714285714,121.0,,,,,21191,2010-02-07
1266105600000,201007,489.0,489,489.0,489,1.0,3.967471,0,3,355030820100719589,2023-08-20,São Paulo,0.0,1.9686649,12325232.0,21.5714285714,86.5714285714,1,1.0,1,66.4785481429,38.7142857143,25.2488591429,30.0,291.0,,,,,21191,2010-02-14
1266710400000,201008,666.0,666,666.0,666,1.0,5.403549,0,3,355030820100819589,2023-08-20,São Paulo,0.0,2.0042722,12325232.0,20.4285714286,89.8571428571,1,1.0,2,73.0784375714,47.7142857143,23.741338,28.4285714286,427.0,,,,,21191,2010-02-21
1267315200000,201009,799.0,799,799.0,799,1.0,6.4826365,0,3,355030820100919589,2023-08-20,São Paulo,0.0,1.670715,12325232.0,17.7142857143,95.7142857143,0,1.0,2,86.5332371429,74.1428571429,19.668957,21.7142857143,446.0,,,,,21191,2010-02-28
1267920000000,201010,804.0,804,804.0,804,0.9999952,6.523204,0,4,355030820101019589,2023-08-20,São Paulo,0.0,1.2635545,12325232.0,20.5714285714,84.7142857143,1,1.0,2,59.1296298571,25.4285714286,25.0933482857,30.1428571429,379.0,,,,,21191,2010-03-07
1268524800000,201011,1032.0,1032,1032.0,1032,1.0,8.373068,0,4,355030820101119589,2023-08-20,São Paulo,0.0,1.361857,12325232.0,19.7142857143,90.5714285714,1,1.0,2,73.881,47.8571428571,22.9151982857,27.8571428571,607.0,,,,,21191,2010-03-14
1269129600000,201012,1378.0,1378,1378.0,1378,1.0,11.180317,0,4,355030820101219589,2023-08-20,São Paulo,0.0,1.5724154,12325232.0,20.4285714286,90.5714285714,1,1.0,2,78.0456751429,48.8571428571,23.4792371429,29.2857142857,795.0,,,,,21191,2010-03-21
1269734400000,201013,1580.0,1580,1580.0,1580,1.0,12.819231,0,4,355030820101319589,2023-08-20,São Paulo,0.0,1.4750495,12325232.0,19.4285714286,94.0,1,1.0,2,82.5855965714,61.8571428571,21.7836044286,26.0,948.0,,,,,21191,2010-03-28
1270339200000,201014,1765.0,1765,1765.0,1765,1.0,14.320217,0,4,355030820101419589,2023-08-20,São Paulo,0.0,1.3329772,12325232.0,15.1428571429,95.0,0,1.0,2,87.2725505714,70.1428571429,17.2423627143,20.7142857143,1112.0,,,,,21191,2010-04-04
1270944000000,201015,1302.0,1302,1302.0,1302,1.92785e-05,10.563696,0,4,355030820101519589,2023-08-20,São Paulo,0.0,0.85628104,12325232.0,16.8571428571,90.7142857143,0,0.0,2,71.5860354286,38.0,20.4089042857,25.4285714286,676.0,,,,,21191,2010-04-11
